1ainp2v86vu19bv008tdfms9qsearbf0.cards.	3600	in	rrsig	NSEC3 8 2 3600 20250930152720 20250909142720 31611 cards. PpRNuacPPtHkBRSFnXw/S2VXyneUEYfYRC8tvycZKDNipReRV4MmaYTVcPnPqJNdrjtvDb+OOa/Fr7pzez4v9A3ysITqRHbo5bff845k8uIeWUB3AHqg00tvinGOqp0K5EofEa+u4CTqdUpdZQ2ZZY8gMJjC81I6wzkjdT8MJqI=
1am.cards.	3600	in	ns	ns1.dyna-ns.net.
1am.cards.	3600	in	ns	ns2.dyna-ns.net.
1and1.cards.	3600	in	ns	ns-ca.ui-dns.biz.
1and1.cards.	3600	in	ns	ns-ca.ui-dns.com.
1and1.cards.	3600	in	ns	ns-ca.ui-dns.de.
1and1.cards.	3600	in	ns	ns-ca.ui-dns.org.
1cabura.cards.	3600	in	ns	dns1.registrar-servers.com.
1cabura.cards.	3600	in	ns	dns2.registrar-servers.com.
1cba2jhfkk302d16u4g3mk4iuinv891t.cards.	3600	in	nsec3	1 1 0 73 1CIS0IH811OG74IM96B333DLSUPJLO0M NS DS RRSIG
1cba2jhfkk302d16u4g3mk4iuinv891t.cards.	3600	in	rrsig	NSEC3 8 2 3600 20251001192924 20250910182924 31611 cards. U8WoinoiErF9eRAWMGbC9Rxr7eMnEK31HzfM/GNzpt8+IoV+dxUDqf3rZrSIMWIV3+rupeMCEXtmvn2JzBrW+9wh7ctfIBHBWoL7dpgC3aPXiCR5s2+iWvzdPlp7mqzrSLaRfax4F4asClX1Va3tADfvYCtQtV5SXBLNbh2mwA8=
1cis0ih811og74im96b333dlsupjlo0m.cards.	3600	in	nsec3	1 1 0 73 1FGNUS3F395Q4OS4054VKOONLC2HDIR5 NS DS RRSIG
