2d0sifoic8a0bik33gsoeu31s1bvds49.mba.	3600	in	rrsig	NSEC3 8 2 3600 20250922161245 20250901151245 14829 mba. sZobc058pSoTT+2DrII4i8x/x8U7hGHT5LW61DuNy0g2oJRAjKytL3CdoLNPOtkHCP1rPj/j/d0zdRTjplHKRrLvXKs2aMdJIhbym1k/sehOKAPj3E9AlJqV30aeaA9jowbafgqGIyOupJEtzkNK61hLjwF2Wp4eNZPno0QFums=
2day.mba.	3600	in	ns	ns77.domaincontrol.com.
2day.mba.	3600	in	ns	ns78.domaincontrol.com.
2dfghisvgdiphhp648ce3f429b5o2539.mba.	3600	in	nsec3	1 1 0 73 2GBABR8GJMIQJC4KDLTEUFEII876EH1Q NS DS RRSIG
2dfghisvgdiphhp648ce3f429b5o2539.mba.	3600	in	rrsig	NSEC3 8 2 3600 20250922161245 20250901151245 14829 mba. E8W8bu+krM0yYspFQW/yD01jB7+jorXcxBkLBOU9B92aMxC3Z7DHx7xtDRtWxAU4XCA4HvS/55oxrjn2EAU5O7e8t6NzOD/rhmrZePuceBX/VPrfViIBDHZDJLIG0xQPUFRnS0pmJPT9CYiqEfQNTnJWdV2hhbB6luQl3MKV9KA=
2g.mba.	3600	in	ns	indie.ns.cloudflare.com.
2g.mba.	3600	in	ns	kianchau.ns.cloudflare.com.
2gbabr8gjmiqjc4kdlteufeii876eh1q.mba.	3600	in	nsec3	1 1 0 73 2OUHSKV62JOOJJ9MN7LOMLGP2L54UP18 NS DS RRSIG
2gbabr8gjmiqjc4kdlteufeii876eh1q.mba.	3600	in	rrsig	NSEC3 8 2 3600 20250922161245 20250901151245 14829 mba. jxGiqRSYmHpflpH9w/wQtnr7xdkLqra4CHx2KyXJrZIFd0cyo+sgtVJeNwPlStEwia15nCvpzQVLaZ0B8BgidAqvZ/jrh/4zgW0n2Q+A8PbQwazhHS2sSN/PXZKV0LVuWiFnUWVvHRn4B9bIcwjgeA4M++xSJvIhGpTqOpkA5GA=
2kn.mba.	3600	in	ns	harlee.ns.cloudflare.com.
2kn.mba.	3600	in	ns	viddy.ns.cloudflare.com.
2krk.mba.	3600	in	ns	clarissa.ns.cloudflare.com.
2krk.mba.	3600	in	ns	henrik.ns.cloudflare.comhenrik.ns.cloudflare.com.
2krn.mba.	3600	in	ns	galilea.ns.cloudflare.com.
2krn.mba.	3600	in	ns	hal.ns.cloudflare.com.
2ouhskv62joojj9mn7lomlgp2l54up18.mba.	3600	in	nsec3	1 1 0 73 2P4Q8RQSLMDPU2NMNLK7UD25I3R74TIB NS DS RRSIG
