2rmk8j6uv8rt73rshnkqcfbj515vt3eh.actor.	3600	in	nsec3	1 1 0 73 3BOD02OHMV50R167CJIJHEB239J8P8FG NS DS RRSIG
2rmk8j6uv8rt73rshnkqcfbj515vt3eh.actor.	3600	in	rrsig	NSEC3 8 2 3600 20260207152300 20260117142300 36288 actor. Ipzf34x124z+PaIaBC6HyinGcCuQGfkjRIirzWCuEDjiAocFvdu++TjfEhAqytLq3o+4uiIiceI/CCi33gCtcXWjzy14jwlBB+kwrMpDOvca4LDwrjNOmgAeC/mrXFPtg/+JY10V0h8VSn1rwlw6g5OJqYYs/1QcE3VcTj7lB7o=
32win.actor.	3600	in	ns	frida.ns.cloudflare.com.
32win.actor.	3600	in	ns	yew.ns.cloudflare.com.
33win.actor.	3600	in	ns	adele.ns.cloudflare.com.
33win.actor.	3600	in	ns	ashton.ns.cloudflare.com.
360.actor.	3600	in	ns	ns1.dyna-ns.net.
360.actor.	3600	in	ns	ns2.dyna-ns.net.
388bet.actor.	3600	in	ns	ns1.dyna-ns.net.
388bet.actor.	3600	in	ns	ns2.dyna-ns.net.
3bod02ohmv50r167cjijheb239j8p8fg.actor.	3600	in	nsec3	1 1 0 73 3KJ1RJ3HCGDBRVE348M9DJG8MM7QF025 NS DS RRSIG
3bod02ohmv50r167cjijheb239j8p8fg.actor.	3600	in	rrsig	NSEC3 8 2 3600 20260207152300 20260117142300 36288 actor. zqxJH+7OLGhAUpW/+vVtE60D05ntapRSvfIwdHzuwRdQu6ar3uf/fQQ2jo05356Heg7KJWQGW8VZtGE2HQ1rjUFScWhApTDjMK6yDKDVfawmNXXeQFZhaPLf/0r29qDwJyaUStwJ1JhG99jBjqMPk70wBTckqS72o2brxV6/RYc=
3isk.actor.	3600	in	ns	ns1.dyna-ns.net.
3isk.actor.	3600	in	ns	ns2.dyna-ns.net.
3kj1rj3hcgdbrve348m9djg8mm7qf025.actor.	3600	in	nsec3	1 1 0 73 3LLLDE4K6HKR00U7GQMS9LT752PDHPO2 NS DS RRSIG
3kj1rj3hcgdbrve348m9djg8mm7qf025.actor.	3600	in	rrsig	NSEC3 8 2 3600 20260207152300 20260117142300 36288 actor. STS/Eql6428SDbtBzD/84JTPz3t0IRWdQx4s2Hv2QvmAqBGnYbSKfA1jerlO4X/0j87GE5IBbhzBCCBr8nHCrgt23ruc5XpoPI0+GxSw9wXsPj7XLS9BDrjOlVkKFBm0m4rPC+gKrbAalvLKsLXFJuEcGKXRKsnwgVPXcNWXYwY=
3lllde4k6hkr00u7gqms9lt752pdhpo2.actor.	3600	in	nsec3	1 1 0 73 3P040MH2GAGNDK9BA7D1MBFTL0IJ49G9 NS DS RRSIG
3lllde4k6hkr00u7gqms9lt752pdhpo2.actor.	3600	in	rrsig	NSEC3 8 2 3600 20260207152300 20260117142300 36288 actor. fm4ONLlIIBfh1OKjOTAryA3myY1pyZsdupd8Xxfh2k+B5xG9apPz4FZJv15ak/VTLHblTmA4SJ02DPt4/3dBOmuGDcRap/gfH5NEWFdabUXceHRmrQfBY2REjha3GhxEwa2EByAh1hMPiuG/ViWlOVF+sDJVfBoj9eqrlwFZg90=
3p040mh2gagndk9ba7d1mbftl0ij49g9.actor.	3600	in	nsec3	1 1 0 73 40QOU3F0CFO6QHFM1NKJACH0RS3FCE79 NS DS RRSIG
3p040mh2gagndk9ba7d1mbftl0ij49g9.actor.	3600	in	rrsig	NSEC3 8 2 3600 20260207152300 20260117142300 36288 actor. FPUusk71hUHUvOzr8ZoNdcSpEHp8vF6EHwVEUcDKWsfRYH2IuMNhTpD2SfW3F5eAKtGzR0K915SgG8u2TIJh7UO4zAOsB6d0zr5SVs5xHcE9OzILoQz6Wq7c34Xg38hamLTRQcvGA+R2RD8nMSbwkjgHgGaKvfxuttfDshEXTwA=
3star88.actor.	3600	in	ns	dns1.namecheaphosting.com.
3star88.actor.	3600	in	ns	dns2.namecheaphosting.com.
3ta.actor.	3600	in	ns	ns77.domaincontrol.com.
3ta.actor.	3600	in	ns	ns78.domaincontrol.com.
40qou3f0cfo6qhfm1nkjach0rs3fce79.actor.	3600	in	nsec3	1 1 0 73 43JAEJHKKJ0LKT2F5ARQKHDJGNEO0NE0 NS DS RRSIG
40qou3f0cfo6qhfm1nkjach0rs3fce79.actor.	3600	in	rrsig	NSEC3 8 2 3600 20260207152300 20260117142300 36288 actor. l3fShZklDpU9PdZxkJVxzMs0+5pgOTsAJnqHVA6+Svc1l5GH36hQEMNcnDFEx7J95HLPVAWvRkFzdhqJERNE+y5ymt9ro8HhQYLKyfP+if2T8PRtOYFq0FNhkZGgKRbirTRckbCanesFSiDDzWQMHDo/ljMKQNtP+uOH+RynhzY=
42.actor.	3600	in	ns	june.ns.cloudflare.com.
42.actor.	3600	in	ns	noel.ns.cloudflare.com.
43jaejhkkj0lkt2f5arqkhdjgneo0ne0.actor.	3600	in	nsec3	1 1 0 73 4566JVF22ADVOC2KERR8KQ5O49I3JT1H NS DS RRSIG
