0601.christmas.	900	in	rrsig	NSEC 13 2 900 20260205061547 20260106044547 58362 christmas. LIcGrj83+pw4TNiTB6ckcmPpk/moDPtCkAn0dneEoiGMAAqc0caWBQ8I7tNHM+COiWFNZ+x/sbiTmNLJUjg9Hw==
060103.christmas.	3600	in	ds	33250 13 2 F317FD1A5D2F509B321F6E85C0A7695044DB69F59671F7E5EC8651379EBBFA0D
060103.christmas.	3600	in	ns	launch1.spaceship.net.
060103.christmas.	3600	in	ns	launch2.spaceship.net.
060103.christmas.	3600	in	rrsig	DS 13 2 3600 20260216142959 20260117125959 58362 christmas. kWpF+FiTK4loMg7PQOcrKtYi5nqSzNXceWCsC6EH2uEzbqO3hTCAOF+005DfnO4BfyfOmY5kUgU62IRbmDySRw==
060103.christmas.	900	in	nsec	060131.christmas. NS DS RRSIG NSEC
060103.christmas.	900	in	rrsig	NSEC 13 2 900 20260216142959 20260117125959 58362 christmas. Ctl0NY3D4OgXBaOVSpLIskB+Gv1u9mQNlzXfbKZUrNx35f9vy8JUtTYNCVlXZR/sfgLasBAEFQqojKiv8P2tfA==
060131.christmas.	3600	in	ds	60100 13 2 9C8ADC79523667C24A7A699714E23BBA062D4D551DE962BB9397A8C8B8C634C0
060131.christmas.	3600	in	ns	launch1.spaceship.net.
060131.christmas.	3600	in	ns	launch2.spaceship.net.
060131.christmas.	3600	in	rrsig	DS 13 2 3600 20260216142959 20260117125959 58362 christmas. 55q4HiZkQji054hnQKiaezlb5EzQhhCAnh8ViOav+T+5GCC6tMmPIhKoCbTam32lh92gTv1GFAmoWhFS/izd+A==
060131.christmas.	900	in	nsec	060143.christmas. NS DS RRSIG NSEC
060131.christmas.	900	in	rrsig	NSEC 13 2 900 20260216142959 20260117125959 58362 christmas. 9tZFRyF+dBx6BgVSwTPm7CcDoJJ9MznT8HakTf/s58AVM4ZHQyX4UyF6NhD1Komi3OWeSKZF3Ql2df1PrZut+w==
060143.christmas.	3600	in	ds	12602 13 2 6298B916623F7401BF613DDFB7FAE35A62355FEB1CFC2C6392D3B5258234F012
060143.christmas.	3600	in	ns	launch1.spaceship.net.
