049096ucc27tbtk4787i9lakk2qcm2m4.tattoo.	900	in	rrsig	NSEC3 13 2 900 20250904074752 20250821072926 58469 tattoo. SedP4bbZsxpnx9o/dco+bUgun2Zqr4oDYDtJAM0TOgjHgl8bnCcsiCuKdImzfCjzxEJ4biCH+HrnNNuYkQakIA==
04ahekv6.tattoo.	3600	in	ds	51711 13 2 EB484A62E9598DBD8074FBDDA67E8AEA31EFDE7D1D71270AB6EBBCE74C554D4C
04ahekv6.tattoo.	3600	in	ns	launch1.spaceship.net.
04ahekv6.tattoo.	3600	in	ns	launch2.spaceship.net.
04ahekv6.tattoo.	3600	in	rrsig	DS 13 2 3600 20250904202635 20250821200544 58469 tattoo. VIJlFD4/oVH6ME+85fhXP8KcqWkxGS6wkW1L/HSWJWYfx52S/7DVuWA8HxlHmdGAMGEC1EzudxC7IQL2tQ4Fkg==
05040231.tattoo.	3600	in	ds	48272 13 2 A9B7BF6B1B1469C4CB92F3C175F367F6CC9F6D6848DD6EA11318AA97E6D9D8A2
05040231.tattoo.	3600	in	ns	launch1.spaceship.net.
05040231.tattoo.	3600	in	ns	launch2.spaceship.net.
05040231.tattoo.	3600	in	rrsig	DS 13 2 3600 20250909161132 20250826160340 58469 tattoo. z0kHpWuShtkcFMNKglzfyR4bN50eP95ONOOlI8Z3kl8qSya2R78lNmunAcPYNdTL5S/6XG+LuykBuIa/RyWDqA==
05128551.tattoo.	3600	in	ds	11257 13 2 02DA63CA4B86FE24ADD8ED377E813E8464DA2C1A95306BDA5665069F762C98CE
05128551.tattoo.	3600	in	ns	launch1.spaceship.net.
05128551.tattoo.	3600	in	ns	launch2.spaceship.net.
05128551.tattoo.	3600	in	rrsig	DS 13 2 3600 20250909161132 20250826160340 58469 tattoo. ZfpJ2cyMCm9sNtZFh813q5Qebt4+OND48e5xGPUerdQwdupDztWO5gFM+YI/jwbBV2zF+Wc7xwAb9TUKcQzXGQ==
05402711896.tattoo.	3600	in	ds	58071 13 2 007BAEF5979A8033E4B9BDBF94E5ED44DFC31ACD1C33412EBC60B4E4785FC7A2
05402711896.tattoo.	3600	in	ns	launch1.spaceship.net.
05402711896.tattoo.	3600	in	ns	launch2.spaceship.net.
05402711896.tattoo.	3600	in	rrsig	DS 13 2 3600 20250904103718 20250821102608 58469 tattoo. X0O4ACxxNO5UFyVti1WjnuY1VtjaNvaUH9PAE5We+A/noFpsyf2bRqxVNqBuRDDCh4jK0gqwLVBBzkKQ7rzESQ==
05446343.tattoo.	3600	in	ds	26449 13 2 3F9D7897C7E516125A8D64C76DC96441B25D0E2263D4A8664D3DF85ECBDAA24B
05446343.tattoo.	3600	in	ns	launch1.spaceship.net.
05446343.tattoo.	3600	in	ns	launch2.spaceship.net.
05446343.tattoo.	3600	in	rrsig	DS 13 2 3600 20250909161132 20250826160340 58469 tattoo. vbf97B0jIYJZE54rdiz2cMnsrJUSX6nDTquRcnOnWbgNUiuMVuJj1LoFfG6R/Ks8HXaB7C+WTN6GBtj0mtt4/Q==
05597805903.tattoo.	3600	in	ds	62339 13 2 0946B883DDECD796EA8F4B0A1EA5ED7A93946C46174183DCA80645790EBC89B5
05597805903.tattoo.	3600	in	ns	launch1.spaceship.net.
05597805903.tattoo.	3600	in	ns	launch2.spaceship.net.
05597805903.tattoo.	3600	in	rrsig	DS 13 2 3600 20250904103718 20250821102608 58469 tattoo. lzcmGWYZXY49SX0ZNh39siVNIL90UVWljD6eJ9Jlx0XCArWKX0VzExu4ZGNLcv0d2YswZ1gTG8xtForW/4n1nw==
05871542.tattoo.	3600	in	ds	27028 13 2 C8D538A68C2CE52CAC31B1D4E51E5546AB67511B0423AA8674421391342222CC
05871542.tattoo.	3600	in	ns	launch1.spaceship.net.
05871542.tattoo.	3600	in	ns	launch2.spaceship.net.
05871542.tattoo.	3600	in	rrsig	DS 13 2 3600 20250904074752 20250821072926 58469 tattoo. EqjAVlIzHZ0v/R59tLd7V/h9JCcf5vqwFhRtzzQWmly5twQN1dHkZUu/PzEKLAzGuViARiP2+vkpytGFRWmJjw==
058bg5avh6o8j4et8vuvlv4d3ip1q08j.tattoo.	900	in	nsec3	1 1 0 - 060KTR4TQQF68KH475FJJKSAHJ1GCMF2 NS DS RRSIG
