0sv4t05621gjmknskgpdar4ftso96ukq.monster.	900	in	nsec3	1 1 0 - 0TO5U05937HVD1HTAURHKV2F0F3BKQ8K NS DS RRSIG
0sv4t05621gjmknskgpdar4ftso96ukq.monster.	900	in	rrsig	NSEC3 13 2 900 20260221090614 20260122073614 38448 monster. xbDI60VCIXtqnGx2CJfrlITaZQwo5NdlZrmdSz76blcx2MtJYc/VjIk4r5IhhcjLyPHeDydUpco8DXwHiHmmLA==
0ta1001.monster.	3600	in	ns	ns100.webnic.cc.
0ta1001.monster.	3600	in	ns	ns101.webnic.cc.
0to5u05937hvd1htaurhkv2f0f3bkq8k.monster.	900	in	nsec3	1 1 0 - 0UDRRHD6CR2I54L40E0T7G5FDJ31IREU NS DS RRSIG
0to5u05937hvd1htaurhkv2f0f3bkq8k.monster.	900	in	rrsig	NSEC3 13 2 900 20260216115403 20260117102403 38448 monster. XWgfoGX1vCxFKMffli8J0Ah0hRwsx41CZdPO82T/k4Ni8Do4RGoPhls9uaVHHRkU9wcNZkHwVlz+j0NfKxXkgg==
0udrrhd6cr2i54l40e0t7g5fdj31ireu.monster.	900	in	nsec3	1 1 0 - 0VRF6GA9QJVR11FM5TIJ7TL20VT3CL76 NS DS RRSIG
0udrrhd6cr2i54l40e0t7g5fdj31ireu.monster.	900	in	rrsig	NSEC3 13 2 900 20260216115403 20260117102403 38448 monster. GMeiUbSn5oKwUUQDlA90CqZO80RrPyXs7JRza1yq9UvaPS4dM16lkFqgGuNmC61KYBKV08+c/kZnUZP3tAZ2dA==
0uzxyx.monster.	3600	in	ns	ns1.judns.com.
0uzxyx.monster.	3600	in	ns	ns2.judns.com.
0video0.monster.	3600	in	ns	ns75.domaincontrol.com.
0video0.monster.	3600	in	ns	ns76.domaincontrol.com.
0vrf6ga9qjvr11fm5tij7tl20vt3cl76.monster.	900	in	nsec3	1 1 0 - 101LL6A0AQU3O5OM9PAJ2EKVMQBCFEM5 NS DS RRSIG
0vrf6ga9qjvr11fm5tij7tl20vt3cl76.monster.	900	in	rrsig	NSEC3 13 2 900 20260219174122 20260120161122 38448 monster. jU/FKFcf4wu/VdOp8dvm42Jxqf4V3ooDzcdgXLlfe+3xjXgWrcTVF6c8guevQUJ619Tqsk0KsRSf2MtrR4AKpQ==
0w0.monster.	3600	in	ns	noel.ns.cloudflare.com.
0w0.monster.	3600	in	ns	rihana.ns.cloudflare.com.
0x.monster.	3600	in	ns	dns1.registrar-servers.com.
0x.monster.	3600	in	ns	dns2.registrar-servers.com.
0x0.monster.	3600	in	ns	dns1.registrar-servers.com.
0x0.monster.	3600	in	ns	dns2.registrar-servers.com.
0x1.monster.	3600	in	ns	bart.ns.cloudflare.com.
0x1.monster.	3600	in	ns	lilyana.ns.cloudflare.com.
0yunl9.monster.	3600	in	ns	haley.ns.cloudflare.com.
0yunl9.monster.	3600	in	ns	jakub.ns.cloudflare.com.
1-0.monster.	3600	in	ns	ns3.epik.com.
1-0.monster.	3600	in	ns	ns4.epik.com.
