xn----ymczf6bzdbpd.xn--ngbc5azd.	3600	in	ns	zariyah.ns.cloudflare.com.
xn----zmc6fjdckqd.xn--ngbc5azd.	3600	in	ns	amir.ns.cloudflare.com.
xn----zmc6fjdckqd.xn--ngbc5azd.	3600	in	ns	nova.ns.cloudflare.com.
xn----zmcabcl1a1a7e9h.xn--ngbc5azd.	3600	in	ns	dns11.ovh.net.
xn----zmcabcl1a1a7e9h.xn--ngbc5azd.	3600	in	ns	ns11.ovh.net.
xn----zmcabk5bl8isbmohq.xn--ngbc5azd.	3600	in	ns	nsgbr.comlaude.co.uk.
xn----zmcabk5bl8isbmohq.xn--ngbc5azd.	3600	in	ns	nssui.comlaude.ch.
xn----zmcabk5bl8isbmohq.xn--ngbc5azd.	3600	in	ns	nsusa.comlaude.net.
xn----zmcaef1f8cict4a9a.xn--ngbc5azd.	3600	in	ns	ns1jsv.name.com.
xn----zmcaef1f8cict4a9a.xn--ngbc5azd.	3600	in	ns	ns2qvz.name.com.
