8odut2lfsia0fbpfcec8cfhmovbmk1tl.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. cdAtzuj8hQRNTAlQ8I6dxie1kC81qLXr4ykEblKTApWOC86O/Zm/LaAzjKtO/ZmgLFkmItWhwhP4GnEdcPDk9uIEE8AHeG0fZF3M+uwv2M7wAfHhpvZYgPsoIJVAhXifT1fizXtnf/l7vfw5xgfAvpyo0I1KIOe8gIE1NmfyvCc=
8q8k.hospital.	3600	in	ns	ns1.dyna-ns.net.
8q8k.hospital.	3600	in	ns	ns2.dyna-ns.net.
8sjm8h23667qaejhf150m5l1bn086877.hospital.	3600	in	nsec3	1 1 0 73 91NVUNKOPCIPTAMGVTOA760U7287E5S6 NS DS RRSIG
8sjm8h23667qaejhf150m5l1bn086877.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. ZIeNfoxauMocwtehEn99JnGvC0QpzEYCSKN+waihMdDG9niieQZilCC51mkqkOMwdFXnVaRUWziO3DhYrvpBfgZ1G6f03GV+yFG4Q5oet/ofdl1AEe//FnRd5Jqe05/xpqCEhztADBl0q/uEjHd3Uzz0a1C7JzTl2lbw2DRgCOA=
8xbet.hospital.	3600	in	ns	lina.ns.cloudflare.com.
8xbet.hospital.	3600	in	ns	simon.ns.cloudflare.com.
91nvunkopciptamgvtoa760u7287e5s6.hospital.	3600	in	nsec3	1 1 0 73 9I5J9DINFPEFLUM0D2FA6HR7U6CU6NQN NS DS RRSIG
91nvunkopciptamgvtoa760u7287e5s6.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. FrqLjrNO4QEbiaTae1m2xZfe85PvXD4SsjRQyQxCiKJUtBXADL78YxSwYeuCpcROvY52uW5UQm/gg3oA2azZt1CQv+7gIoEFwufdFm20pTmNB8f0Xxp3U/MmB0dzpKQelExzeDnzYNE0ZJ7XM3+FsRSPnndxb49leKrFFvyaXwM=
9i5j9dinfpeflum0d2fa6hr7u6cu6nqn.hospital.	3600	in	nsec3	1 1 0 73 9NV49HNLH0KOSM1M9S5SB3QCODKFQFUG NS DS RRSIG
9i5j9dinfpeflum0d2fa6hr7u6cu6nqn.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. MmnakR0cpG8zW19tvyijxyqNqIBWwUgg3xcO8w6W9m+7jJq5TLkKra0CJp/lAaIXyUcbEewbFNIVPlnipyVQMZpRa7QWdDOqMzXK7ByFTVj7DSLAu9X/gLNRLsEext4Q7GRCqDA3jGYoKnZil48iwkLvu9BnmDpVp2WXAo6DhBA=
9nv49hnlh0kosm1m9s5sb3qcodkfqfug.hospital.	3600	in	nsec3	1 1 0 73 A50I057P0FRO8HO1ESC64E3J8TCCDVRQ NS DS RRSIG
9nv49hnlh0kosm1m9s5sb3qcodkfqfug.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. jbT+hSNR5dQ50gLnvZG4yzBHbm3W++umyiKDJgKMhA7Yo5n+LcnWb+Hx2nnNMWvo5ZgCSxgS5lFCsx4K4ZvQ9JJaYqUX/RWILrTSAQXqTBX35N60ZyRtsxlXfWuE215f5rR1nTs2ncGDl8fnOHEWnlB7jyE9BIjCe5GFh0Zny+4=
