0p7v0qmhpgolv0aj4omrb2rolvc3gmd0.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. h+CaiSB86GKEdqzbGEA1DuFKASyhVoJ1Zj9j7XgexDVAPCYRJpA0gg7qRb6H9ElnV2dbdkrW3IlwhHzMTrgtiB7CgMxY0mHWltnntqbYMiYo8CkaWrMWt024H87PRvESZumGKkg6/g7UE1DNuZVhiSfPfiDQrA31tyYqeR5hNWU=
0pa9dubhsc1qa3uro4a9nklslff5jr94.ventures.	3600	in	nsec3	1 1 0 73 0QE2IIMC0UB3IIPP4DIPPPSN37RGGHUU NS DS RRSIG
0pa9dubhsc1qa3uro4a9nklslff5jr94.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. IKJedPez/zOsM4pxPE/OQJJtawDnENmINbwjBTmN/IHQuUmWYGPnQHjGMPUAGu7E7RkYFX9ZilF9hoQillB5792ZQPg2UNSvBwkUI1d7PoyQbJroC0CICVg6by2q1d3rdOW6qpSkSjmU2Bx/jySb0hZdlA63+5kGs2sBjEK+Jvw=
0point1.ventures.	3600	in	ns	ns-1329.awsdns-38.org.
0point1.ventures.	3600	in	ns	ns-1797.awsdns-32.co.uk.
0point1.ventures.	3600	in	ns	ns-301.awsdns-37.com.
0point1.ventures.	3600	in	ns	ns-720.awsdns-26.net.
0qe2iimc0ub3iipp4dipppsn37rgghuu.ventures.	3600	in	nsec3	1 1 0 73 0RQC1E9U8PU8R2JE19BQKPPVSTUHE8I5 NS DS RRSIG
0qe2iimc0ub3iipp4dipppsn37rgghuu.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. qGxE2amV5CNnC/ZfjBK6FOmdM+MDO7eLxN5raKX/Wl4n6j5/rrqlmYLHlKyED1JIoxxS8a4qCLWgL02VpMCZ8dEU2uhSGjcegMFNkTABc4XiFGEOAr5FJkryN/WRY5099Gq5Jkazkqk2Dn5yrsEQYyCuKCaQfLiMj+w5/7u080w=
0rqc1e9u8pu8r2je19bqkppvstuhe8i5.ventures.	3600	in	nsec3	1 1 0 73 0T7OTTPSRM22BCIITLRGJ9N1N2PK0LHQ NS DS RRSIG
0rqc1e9u8pu8r2je19bqkppvstuhe8i5.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. H4Mcel9qM0mnY9nlyTGlOjWtWhBNcmG+nw6rD1bvbltX2B0c4wjFcxrzB/VCQ/zwmaRKCzeaIeGf6qsYUULihmo1kol1UuAVOyMeoNmgb5f0/NlfFtPig5PvowSLuAy2iSxDe2UyTjUFuJYwsnJPeDjkx7kgHBO6WYyLY2KjjRM=
0t7ottpsrm22bciitlrgj9n1n2pk0lhq.ventures.	3600	in	nsec3	1 1 0 73 0T9B2FSP1V1FPNC6LOB9P4QCVVAFIGNM NS DS RRSIG
