05qv8obam0vpv1k2k133a1jvtf8156ov.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. PMSEEiaQ7SuozWWHzhQFOai3OD8uhqo4KPsBJ2D6X6wkkXqKmFSdpIdc1UGp+qMb072DrDSUl3iXV+68aAPuRBD2ilpEzs4iPei5tu2Dh0D4tePTZZObaqtSO74PL0/NZrjaXySCwDSGiOVXL6FNyVt2cMtnmPV4ywQhBS7t9Mw=
06667.mov.	10800	in	ns	ns1.dnsip.com.
06667.mov.	10800	in	ns	ns2.dnsip.com.
066982.mov.	10800	in	ns	a.dnspod.com.
066982.mov.	10800	in	ns	b.dnspod.com.
066982.mov.	10800	in	ns	c.dnspod.com.
06705.mov.	10800	in	ns	ns1.dnsip.com.
06705.mov.	10800	in	ns	ns2.dnsip.com.
06740.mov.	10800	in	ns	a.dnspod.com.
06740.mov.	10800	in	ns	b.dnspod.com.
06740.mov.	10800	in	ns	c.dnspod.com.
06780.mov.	10800	in	ns	a.dnspod.com.
06780.mov.	10800	in	ns	b.dnspod.com.
06780.mov.	10800	in	ns	c.dnspod.com.
