53.mortgage.	3600	in	ns	ns1.afternic.com.
53.mortgage.	3600	in	ns	ns2.afternic.com.
557nb0vqkji93e7i0t2stvupuhb0suj6.mortgage.	3600	in	nsec3	1 1 0 73 55JFC3BUO4L9I1RBT1NSPHRU92DAVNGO NS DS RRSIG
557nb0vqkji93e7i0t2stvupuhb0suj6.mortgage.	3600	in	rrsig	NSEC3 8 2 3600 20250916155344 20250826145344 61134 mortgage. SI6/AYnrEZ8yxlTt6ms2yw7p8ze5BCpqX1N/rmt4KRlKvAgxWlvabDa2i/6CwhHswUVfSdcdigtC++2lpneqqeGXIG+0Zb7ccGm6r6Tk9iQ53ZsbB1kxBxYssxJhKqS/b781D0ng/BuQYJLXZn1I0zZG1YN8bPjNAEtsU6XsGJU=
55jfc3buo4l9i1rbt1nsphru92davngo.mortgage.	3600	in	nsec3	1 1 0 73 5BM68JERBRKJPV1BRQL4EVTAUBMI1G74 NS DS RRSIG
55jfc3buo4l9i1rbt1nsphru92davngo.mortgage.	3600	in	rrsig	NSEC3 8 2 3600 20250916155344 20250826145344 61134 mortgage. T8IWks9pqIg4TQZrrpP1fB5TkgnpkZKcxtaLG7HpRHKVdkqbOV0VvDGYv/hRjS/CHFsmNgMcgX3QgBMlvBxhXhMXd9tNExKIwoZXKD+H/WohHPZXZF0II5Ppik7FwptLkOb9q2wWeYlTd9x/J5RHyD8xY5rdKSCw3OkwES/yoYU=
55plus.mortgage.	3600	in	ns	ns65.domaincontrol.com.
55plus.mortgage.	3600	in	ns	ns66.domaincontrol.com.
5bm68jerbrkjpv1brql4evtaubmi1g74.mortgage.	3600	in	nsec3	1 1 0 73 5C66EULH3TNC8JL0UHRL0FVVT80O0KP7 NS DS RRSIG
5bm68jerbrkjpv1brql4evtaubmi1g74.mortgage.	3600	in	rrsig	NSEC3 8 2 3600 20250916155344 20250826145344 61134 mortgage. AcxlVQADC6jkgEalvRJ6Ng5H5lgqiE8MbB1McLskAq3Z5ZLgAXCIbcQiJ2BLmcAq+yQCeAxh3RAEXucaAG9jOa5S9m9957is8q6lA5wAFDilLuJnu+h3RI04uHcBzMSxros7GNiJpTYpAfk3RdpAaOHMgnvqf3uFDU+gxbLW8ZE=
5c66eulh3tnc8jl0uhrl0fvvt80o0kp7.mortgage.	3600	in	nsec3	1 1 0 73 5D37U0UC00BOLF6VU5V9EFAQQNBHQH5A NS DS RRSIG
