2cs.fail.	3600	in	ns	bayan.ns.cloudflare.com.
2cs.fail.	3600	in	ns	nia.ns.cloudflare.com.
2jene2vai119u1ip0t199bqp25oce0l5.fail.	3600	in	nsec3	1 1 0 73 2K0B8MC6C18G5BHCUQ96902B0MFOMDEL NS DS RRSIG
2jene2vai119u1ip0t199bqp25oce0l5.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. GK/Id2a63+Wc/TfoVupXW1UIC6SgZu3ogVU319gXITjV7g5yOFThAB3AIfuJ8PiwRiVQW06T5dLt9W8UxqhB/hqhGaIpIvE8cZ7/CKEyCf87GG9yYxfYBnuJnATFX0/HKQzVvs/CRy8RXG0b8ROUI4hi1aPp5MOFmAZiHB8SWCc=
2k0b8mc6c18g5bhcuq96902b0mfomdel.fail.	3600	in	nsec3	1 1 0 73 2K2OB6S7BT5F704A423U5RG6V10F5IKC NS DS RRSIG
2k0b8mc6c18g5bhcuq96902b0mfomdel.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. skO/M2sFVuJq4Kxu2WIsThBtIUshv8FfjmS4L9TfmP0hQ5GUumJbm/qNFvvLVOSWisVw6tp/B0ce4SKN1mvFz9r3yYh6lLitJCpKBEYUFpU2agCk7oQl707dAyU7hN7zV4kI05jBTQd+zyENJ2Pz44YJ+Lz0GT6Wh8OT8q4X268=
2k2ob6s7bt5f704a423u5rg6v10f5ikc.fail.	3600	in	nsec3	1 1 0 73 2KCP14I6GLQ77VEME6BNMJVJA83HS1QP NS DS RRSIG
2k2ob6s7bt5f704a423u5rg6v10f5ikc.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. jzfCb126XF1yUm8XYZjBVRE+leTsA+Kzo7qSP2UP/nemGQhGLZo+56wiMcmYfUz5yMhOAqSM3OJA3UPZ572H3AUtSybdajqiSUw193jQAX4+na3AluynSbAFNc1xhlzhmwm2vgwuOxgRw/ztQhdn5HO16L6/Q2wk/P2gCg/HFx0=
2kcp14i6glq77veme6bnmjvja83hs1qp.fail.	3600	in	nsec3	1 1 0 73 2P6EG3VDRD8LRQKCUB57GE0RN2SSAIHT NS DS RRSIG
2kcp14i6glq77veme6bnmjvja83hs1qp.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. pRPuu8s6s3wNOEszKwBu2CnxlZVXjVKHJXfgr6PDZU6nY8Fc5LyeA78MKkix0PakDfdGBFpqzRBlqurpHETXUVwLu+BtaxLks89KSsYCVs2m/7T0v5Wk//VoCCI0gfKSrbf1RDp+msWrdWnNjgxMoxYzf1YQtVVX+oeEZ8XD/zg=
2p6eg3vdrd8lrqkcub57ge0rn2ssaiht.fail.	3600	in	nsec3	1 1 0 73 33JEUKLGFLNU9NE36FP8QB51183AVMTR NS DS RRSIG
2p6eg3vdrd8lrqkcub57ge0rn2ssaiht.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. xMYYTVe/KvERI8PSeRh32p2kwFvwMx5tX0H8LLZ9cw+DXBePieOCCwMK9xBxi6vRZ0Ihp1/VstqTzvAIxZcrRFSgFAhGM4qgGQU2HuqW70J3IAh33q35D9rveZmcmS0MqpDHWLBqXkf083Rw4izw/MU87DgnNdRxFSPpQ7W2cq0=
301.fail.	3600	in	ds	2371 13 2 7C3BB892149B2A68731EC7F6FA31B4F0E68E410D144CA4AA47953C9F48E6EAB3
301.fail.	3600	in	ns	nick.ns.cloudflare.com.
301.fail.	3600	in	ns	pat.ns.cloudflare.com.
