1dss6l5n9he02ju89tg3472fkqd3kh5v.haus.	3600	in	nsec3	1 1 0 73 1F4AJOMEG6S8NGQHT88BEL7361DRBEPH NS DS RRSIG
1dss6l5n9he02ju89tg3472fkqd3kh5v.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. aCfU2Z7iAvdGjJeUzGfr/7ExuFVT4XGYXqi3ToKyw77HdtKTbq0b9Dk5iMR2yHvLSa3jw6jy+7uzzb7nwBbKreqYDxKNuIcqMDtDMh0iMDnWAsXD6SWBt21rnKQ9W9cKzvzj5Vq6a/VgF8DzOIWZSl6vq2SmA+m3oIxNxlPUbWc=
1f4ajomeg6s8ngqht88bel7361drbeph.haus.	3600	in	nsec3	1 1 0 73 1O7OJ0SCJC2TKCQLQTAIKOKH7A0F1V2J NS DS RRSIG
1f4ajomeg6s8ngqht88bel7361drbeph.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250923141725 20250902131725 38901 haus. jDweUUMEddU/p8EmoXO2bm6lpv+zlB4VHLXdQr96zUuEtxDMRTGezSehlWVZYyxA87DLQUac6WL+EUlx5roBx9sgo1rPwtFGjdv2EN1ljmJ6lE1ljgVo8CjTJ5vZgPTwQuyKKvprMfms9oC5ntTThRAf82EK6EpSK6iQlKq+msw=
1min.haus.	3600	in	ns	ns1.nsd.de.
1min.haus.	3600	in	ns	ns2.nsd.de.
1min.haus.	3600	in	ns	ns3.nsd.de.
1minute.haus.	3600	in	ns	ns1.nsd.de.
1minute.haus.	3600	in	ns	ns2.nsd.de.
1minute.haus.	3600	in	ns	ns3.nsd.de.
1o7oj0scjc2tkcqlqtaikokh7a0f1v2j.haus.	3600	in	nsec3	1 1 0 73 1OH25OGC87MI4HMAGJGV9IMSKQEENDQQ NS DS RRSIG
