5h7sijs56k35vpnu9uf0qqf1872cibal.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. i9YhoqczrMZ1pPAQxjvu0VmIqs4chNdvunOW0k/0XCLgf+m+2dP7T2mTC/0e9f0M0tkq3s/lVLOkcCl48Y0Fff31+aaqJG+nMynbiXfB5eDVMpuuVc4DmVFqNVyKjqByC/+4gCwdfR2WJwAzIR9cvoAWCuu9XPT/OFRi/fqWPio=
5hl6q8k0ob0mnlu7h3qj0v1k745g3q48.futbol.	3600	in	nsec3	1 1 0 73 5NDN0CSQ89I1B2OI8SLDDRDJK2GB72ES NS DS RRSIG
5hl6q8k0ob0mnlu7h3qj0v1k745g3q48.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. emAabK5zLJoRd9IzHqZ0kffaV3S7l5qlyk8bUtmUGTGnEvlK8Ay4Ytuz2v3TE4JaiD2jl7jtCj0+x51JYNHCycup/CcKz4HrejwCgnlMDTRh4hsf1Sl/hl+f8wlSB/nsK53n2NCSDHOsfxcQlccY/7dnN79SA8/P2RkDEbOKKY4=
5movierulz.futbol.	3600	in	ns	hattie.ns.cloudflare.com.
5movierulz.futbol.	3600	in	ns	santino.ns.cloudflare.com.
5ndn0csq89i1b2oi8slddrdjk2gb72es.futbol.	3600	in	nsec3	1 1 0 73 5O4TRE14A4OLDSS5ARM2AJ011TR04CKG NS DS RRSIG
5ndn0csq89i1b2oi8slddrdjk2gb72es.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. qyPVPE8/YjxXuQ5FkHntnPzNsaoDjsqoc26kFNI7O0fPmjR8wlsGTrZreQjxVLE9DI+aynjBqYmUSJJiWVFgSHjG7R1W31MOu+4XqueK2ZONpDWZAI5umIk2GPRr/qmDFuvyDiDN6YN5/cglGRrbtvvdh3VTIeBxtEi1OzymipY=
5o4tre14a4oldss5arm2aj011tr04ckg.futbol.	3600	in	nsec3	1 1 0 73 5PM4VBTUTLOJI8PT45SK2AHUHOG2M904 NS DS RRSIG
5o4tre14a4oldss5arm2aj011tr04ckg.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. Cq1D0lqzTFacii95+WwE8no4XHS43xOEMcRftou0pAXn0nYdesimxo/k+YCHx4zLsjFK4TzX1wZSptFbbmgJPxKX334ZVv+2fnxV1mofDXMiVqIUGLKiANZ/S1+9Me5WVI8XyN0BEE52WDAd3tcIrF+YLv6fvIxsAytNSKOj4bI=
5pm4vbtutloji8pt45sk2ahuhog2m904.futbol.	3600	in	nsec3	1 1 0 73 5VBICLHMDDCT2UPCNQ55LQI3UJ7NH50G NS DS RRSIG
