1000plan.tokyo.	86400	in	ns	ns2.dns.ne.jp.
1000top.tokyo.	86400	in	ns	uns01.lolipop.jp.
1000top.tokyo.	86400	in	ns	uns02.lolipop.jp.
1000yen-lunch.tokyo.	86400	in	ns	ns-rs1.gmoserver.jp.
1000yen-lunch.tokyo.	86400	in	ns	ns-rs2.gmoserver.jp.
1001.tokyo.	86400	in	ns	uns01.lolipop.jp.
1001.tokyo.	86400	in	ns	uns02.lolipop.jp.
1005.tokyo.	86400	in	ns	ns-123.awsdns-15.com.
1005.tokyo.	86400	in	ns	ns-1402.awsdns-47.org.
1005.tokyo.	86400	in	ns	ns-1719.awsdns-22.co.uk.
1005.tokyo.	86400	in	ns	ns-913.awsdns-50.net.
1009.tokyo.	86400	in	ns	ns6.cpi.ad.jp.
1009.tokyo.	86400	in	ns	ns7.cpi.ad.jp.
100club.tokyo.	86400	in	ns	01.dnsv.jp.
100club.tokyo.	86400	in	ns	02.dnsv.jp.
100club.tokyo.	86400	in	ns	03.dnsv.jp.
100club.tokyo.	86400	in	ns	04.dnsv.jp.
