03rck3ng34dubjnvdmh6u50l7pd7s88f.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. mnYl5zYmkKfmk5ffHd9nnM291228dHf37YwxCUO2gx7sAgglVjgFcyGa4k9Djy+5QiGPWMtOtsCwnESErfYMd/uiz7ivLNOj98naaDXBicZs+sPEqyF+o8BnNaWnp9QfiOZl24h58mOqRqyZmbwrS/4Uy81jLecL/8l9UUtqROs=
04.wtf.	3600	in	ns	hank.ns.cloudflare.com.
04.wtf.	3600	in	ns	rose.ns.cloudflare.com.
04194rqvooff3fmaq5nnnebe3ovhrcqf.wtf.	3600	in	nsec3	1 1 0 73 043EEI7DCG7HR7UVGJTAO3RLFDT4DOG9 NS DS RRSIG
04194rqvooff3fmaq5nnnebe3ovhrcqf.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. DukiF1WvoP8MFySBHwb/EOdw8qisUYjX1/LRFWaJbEziUX4DBgFCljimHcvbGV94twrXK+vyGlf8W92Bwf2K5kazG64b1Vtw9JChJxUuVAamKL9TQg6HwIdgFFfobeHcY3cR+RzQX+iBT84/jwqDzELU2f5IvFrfZEToM/4ZTjI=
043eei7dcg7hr7uvgjtao3rlfdt4dog9.wtf.	3600	in	nsec3	1 1 0 73 04AJ70LJRH301TFF5U0IKBKH4V9DNJBM NS DS RRSIG
043eei7dcg7hr7uvgjtao3rlfdt4dog9.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. FYeMpwYqpJ/MfZVQE1ihOYvr5dEGjuAKBRka3cUvFWCUb8EQX20A+LMqwjwIHRCAu89rDXXZT4ujld+siN7fQ+hG6EnahBaCpm42dZE96c6iQi0NT51VNJg6eB07VM7T8+JOpK8lO5Uwo0Z4QqZBSe1Nctm1LagZKvGnzNTfTtY=
048.wtf.	3600	in	ns	ns1.netsto.net.
048.wtf.	3600	in	ns	ns2.netsto.net.
04aj70ljrh301tff5u0ikbkh4v9dnjbm.wtf.	3600	in	nsec3	1 1 0 73 04U61VMMAGCDHRU6356R957MAT904RIB NS DS RRSIG
04aj70ljrh301tff5u0ikbkh4v9dnjbm.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. jz+EBNKReUSw5r1yAitzX8ct3himTuVMix5iweLJ6BpHSQ3QIxoObwnyjMJXRdy0x8lbeMIR+QbYWvF0M10TGNKmbmrNbgpobnhcGo/86zjxi1RhiencAC2Dp3LY2lrhu3Ljr6wohaTAf1jHJspLaIt0RyTJnDSfBbfc85I1rIQ=
04u61vmmagcdhru6356r957mat904rib.wtf.	3600	in	nsec3	1 1 0 73 05RV93OJ6ROGKUES51R4LKQ4V0FGJS33 NS DS RRSIG
04u61vmmagcdhru6356r957mat904rib.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260214092915 20260124082915 17028 wtf. G7IiilSxSLNRBVskccZ3ylLBPLjuHBQwQC07wM0Zajd9QD2o9jaiElf3zbwTVGK6MoWOIotSkWgET4bvwP12L9AAn0SidmTheoIb1CVnxKG+HZnr3WUNgwMintwvAD6T883bN6FVMTXNzxxFmBEfCTSSih54th2jY5psCvKM9YI=
05.wtf.	3600	in	ns	ns1-expired.sav.com.
05.wtf.	3600	in	ns	ns2-expired.sav.com.
05rv93oj6rogkues51r4lkq4v0fgjs33.wtf.	3600	in	nsec3	1 1 0 73 06V95NFID5DGICPUMSTPB5M02N99DT3D NS DS RRSIG
05rv93oj6rogkues51r4lkq4v0fgjs33.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260214092915 20260124082915 17028 wtf. n1lbEg9y2KYw9rMY2XqhfdsbrAVBV1qcVN2baUoN3QUh1F+NeJjhGG+lFrGJHNHGuf1bBLWHeayNUTWP+dbAm7mwsbZUAeP6r2hhCsAsInKPrKG9NbGNr46se3KhafN1C5E7hOTQXXdxTEl8Ewk/EpV5lXw+kdLFK32Nnz3J88k=
06.wtf.	3600	in	ns	dns1.registrar-servers.com.
06.wtf.	3600	in	ns	dns2.registrar-servers.com.
06112022.wtf.	3600	in	ns	ns1.domain.com.
06112022.wtf.	3600	in	ns	ns2.domain.com.
06768.wtf.	3600	in	ns	ns1.dns.com.
06768.wtf.	3600	in	ns	ns2.dns.com.
06v95nfid5dgicpumstpb5m02n99dt3d.wtf.	3600	in	nsec3	1 1 0 73 079PD1G292DT3T3JS178UAEF3IV25L6U NS DS RRSIG
06v95nfid5dgicpumstpb5m02n99dt3d.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. NxleSxQLbFsut2rcbJYYwAgIh9l0qZAEs3a7MCrN/4qIbkoO8q5QHKUDE/6DsAea1Hxy31as/cW5ffmTA/dhPhWO+5Zm12BFcnlZvKD4kiD7aurRCnTbthWZr9ECwGLJhWnR407HFQMgkADKJ6drORYvlxEX0gLmtdBzQNWuK9M=
076.wtf.	3600	in	ds	26109 13 2 6548D1A7906F9A5A10F01FEC8E5F0925FF4521DE7141EF6FA17C44F7C08B9F9B
076.wtf.	3600	in	ns	ns3.epik.com.
076.wtf.	3600	in	ns	ns4.epik.com.
076.wtf.	3600	in	rrsig	DS 8 2 3600 20260207151729 20260117141729 17028 wtf. gvn5MeXQvX860vL3Q478FlNJVSlAdm+425qR7E82dJbM0nlOpshliQ+ZvJpKM1uO8PSHwV39tVNfnQ83uPwISLl6AWs+M5jXMWbwxcKoq9hnyehFFblJZNmH/7F1L5xtDnCA3vmQrCYy/63ZEIjsJlGHZ2Vwp2ZwPM1fAa3fPb0=
079pd1g292dt3t3js178uaef3iv25l6u.wtf.	3600	in	nsec3	1 1 0 73 07EFR87VQ2PSK0NAD7G3IUK88OU0K4R0 NS DS RRSIG
079pd1g292dt3t3js178uaef3iv25l6u.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. fbDY1wUF9ta1TNj32VT4fnSPysFORLjynjWPS+7KERVr+9hFcbOxn/zfURC7LEICFe/YpfLkeYo4/yVaxG3AKMjFzzfsaKe9D0y9DaE05QkzIj/tYiU6JAQWCKd5gZsc8fSD7fvQrQxOHjVBWfDYQQC5t+Pi839SDDXbds+YfaE=
07efr87vq2psk0nad7g3iuk88ou0k4r0.wtf.	3600	in	nsec3	1 1 0 73 07KHHC4QC1PH7UPQP20IDVARCMCCULKI NS DS RRSIG
07efr87vq2psk0nad7g3iuk88ou0k4r0.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. PQPJmGAod0YnwLcSUp0uhyc0ZhtQZ4UJodmxxGCDkagJJIhckxUhA+JU98O+HaNAmUvrNcfhJxry0vohQlZfCUB1PwFYWoV110Or6zzXKazvaKXvvXhk/LKnmEaYKSYMPLicOHRIn+mC0PkjLYekuy8YSgp24y1/jZwwFYYtlkc=
07khhc4qc1ph7upqp20idvarcmcculki.wtf.	3600	in	nsec3	1 1 0 73 07L89EBOMC2UC7NLG36CT1IELB8L6CG6 NS DS RRSIG
07khhc4qc1ph7upqp20idvarcmcculki.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. btFt/ibZSC25tFMMVf/k352ZkcqYprETa5KJaXuzS6REPxTD1W0kIn1Gyb9pPxpuSmIx2Pmw2r463PtwepSmJ3sJ5qrrf+s8TmrtDSccTaW+IPFCN8awi488TGBudbo1zsJDqRH2IAV3NZPcY6yrohj8m3RtBJM6p+zskbn8jUc=
