shooterscap.nra.	3600	in	ns	ns3.nameserver.net.au.
standandfight.nra.	3600	in	ns	ns1.nameserver.net.au.
standandfight.nra.	3600	in	ns	ns2.nameserver.net.au.
standandfight.nra.	3600	in	ns	ns3.nameserver.net.au.
stopgunbans.nra.	3600	in	ns	ns1.nameserver.net.au.
stopgunbans.nra.	3600	in	ns	ns2.nameserver.net.au.
stopgunbans.nra.	3600	in	ns	ns3.nameserver.net.au.
stopgunbansnow.nra.	3600	in	ns	ns1.nameserver.net.au.
stopgunbansnow.nra.	3600	in	ns	ns2.nameserver.net.au.
stopgunbansnow.nra.	3600	in	ns	ns3.nameserver.net.au.
stopgunregistration.nra.	3600	in	ns	ns1.nameserver.net.au.
stopgunregistration.nra.	3600	in	ns	ns2.nameserver.net.au.
stopgunregistration.nra.	3600	in	ns	ns3.nameserver.net.au.
stoptheun.nra.	3600	in	ns	ns1.nameserver.net.au.
stoptheun.nra.	3600	in	ns	ns2.nameserver.net.au.
stoptheun.nra.	3600	in	ns	ns3.nameserver.net.au.
supportourtroops.nra.	3600	in	ns	ns1.nameserver.net.au.
supportourtroops.nra.	3600	in	ns	ns2.nameserver.net.au.
supportourtroops.nra.	3600	in	ns	ns3.nameserver.net.au.
sweepstakes.nra.	3600	in	ns	ns1.nameserver.net.au.
sweepstakes.nra.	3600	in	ns	ns2.nameserver.net.au.
sweepstakes.nra.	3600	in	ns	ns3.nameserver.net.au.
