0fom5nnujikfhfr0avvtagfs66cpi6nm.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. REQtkLBGVj5Uh+8Mru/9v/22IwTYPCdGZhHpFOVjYwYrY51fhealBwGTZZFA6j0aPL6iW9mBS1lALU9H2LAlv8G4uLhKUg+XdWVW9PfkbbXDO4OTuT7xpAM5XRDU5XrjifWNUqYqqxE3AIVOTflsSlxdeOaH0VBKamiv2RmQdz0=
0fqikk0e2r06e4q32huql7e4idmludtg.coffee.	3600	in	nsec3	1 1 0 73 0GCDNT849KN6F69KDULMAN6EA2KHSRJF NS DS RRSIG
0fqikk0e2r06e4q32huql7e4idmludtg.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. EjdQ/3+tU6c69lm+G64MSCurEjV1318vpwEtTcTtPLu7zOvem5MfBZrrEBlBoPypPkal9i3QKSf9COu30wf5V1s6dTpq/uZeJRyIE4KB5k1JuM0kHbJDwUjJk45VQCzlO6L16vWISP+UKZRQnB6n4Wh2f7NVfggTm2BTwU6/7ng=
0gcdnt849kn6f69kdulman6ea2khsrjf.coffee.	3600	in	nsec3	1 1 0 73 0IL8JMIB9CP3KE07I2LB09CRTCIKFN0K NS DS RRSIG
0gcdnt849kn6f69kdulman6ea2khsrjf.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. SesSQaSaMpgTazr/ua2Q4lk5WWGv9a8KqVg6DpftM5YGRnFGvTwhSR9yqXLtfJVZ4u+PF6FskUEl+FXWKj1GbnAvAuBxSbQwWoeNHwPVVHALpMxPjBI5CPL0s5jOPq7Hh24p4C0CbOxLY7xad4XcrP2aG1rG4PrS+5iuF03o5wA=
0il8jmib9cp3ke07i2lb09crtcikfn0k.coffee.	3600	in	nsec3	1 1 0 73 0K13F4182DQLNOD5PHVHN2E49CKH9M1K NS DS RRSIG
0il8jmib9cp3ke07i2lb09crtcikfn0k.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260123192542 20260102182542 53556 coffee. fWvTjEEJGmUUXrkkYW8Kyztg42110j3LFP8eSSiC/TNY6A/zLGvsc47H8P2YdRhJ/qDwiZS55gdw221+BMYy4+uErGvEO6F1ExRY1JJv+IeTZqWPpqF3AkSDW21h+FkKqh8mbuKbgfp8/nmp9Z+1PkuePwD+35JkC56wESbbtiU=
0k13f4182dqlnod5phvhn2e49ckh9m1k.coffee.	3600	in	nsec3	1 1 0 73 0KDJ6CQUUIHP4O9GRHLVMFNVQ9OHA9N6 NS DS RRSIG
0k13f4182dqlnod5phvhn2e49ckh9m1k.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. iy/Vo/Ba982NrFt1fVrfBGpL8OxVemCTYSZ5/c5SZr0BMl4HolEr0urErkB23rFzmURGWH5SsYkSnG3i9jX6M3qOaCmhWk0uGzzK/GEmS1qnYh0f9XNs2jHbEbXZcYzHe77T0pyuGN989BT3MetnBK253dxhzpXygJQJg/yxtlI=
0kdj6cquuihp4o9grhlvmfnvq9oha9n6.coffee.	3600	in	nsec3	1 1 0 73 0KH0VU8H3870LUU9G6B1SK5ABRSIM8P7 NS DS RRSIG
0kdj6cquuihp4o9grhlvmfnvq9oha9n6.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. NRqx18ZGB7LjU1Ii45QBGA+F8/DP4FrTczbq/cPuuFUGfvfbx4x7ihIv8DeVf9IMzhHvlTc61LBomHy7phBjhUDRYHPwMdCazGb0ZcKqhnjx5UzweIL1tdMaa6OVTAHxal+U2VPKHvCkzWaz+Ad4Jr9uqSkucNNvjMIznnFSnl0=
0kh0vu8h3870luu9g6b1sk5abrsim8p7.coffee.	3600	in	nsec3	1 1 0 73 0KPGNCDED5RGT3S2SMB3DKC0FPJENEA5 NS DS RRSIG
0kh0vu8h3870luu9g6b1sk5abrsim8p7.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. fEK5km4ad36dY5/XtJs3YwygywrmwvlZJ6EVXX9+hhIrgMLjbU6BqbgJtn2RETwB3JrGqgPM1NoMhhlTIdA4V3YDLrBl7i8HVOwzo7dbtJfyM1ANPjwHVikEqVkpJebjG4eDE9Vpbob4togNDAUBntexd/9Z5GivuaeZE09xPSw=
0km.coffee.	3600	in	ns	ns1mpz.name.com.
0km.coffee.	3600	in	ns	ns2dhj.name.com.
0km.coffee.	3600	in	ns	ns3hjx.name.com.
0km.coffee.	3600	in	ns	ns4hny.name.com.
0kpgncded5rgt3s2smb3dkc0fpjenea5.coffee.	3600	in	nsec3	1 1 0 73 0KUO8H01QLIA8TBN8Q1HSE26Q06F97DP NS DS RRSIG
0kpgncded5rgt3s2smb3dkc0fpjenea5.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. GOx+rYSavNB8PYb9qvJOvSY2kIjdBYeyzVCriRfkQB7A8JjBLMScZPpXM3nU8VFtV4gEoDp+BXWNw/5Vw8DqHLRPYATHaL1polSHgcHqBYkSVLWyNDCE0Lg5YXmLwdtpg0A9tam14Hw3UUbzUPlQ7E/hctwqRbft+MDRj/Uzc2Y=
0kuo8h01qlia8tbn8q1hse26q06f97dp.coffee.	3600	in	nsec3	1 1 0 73 0MJF319G26F0DNMA4TC22FJFLO5IOQBK NS DS RRSIG
0kuo8h01qlia8tbn8q1hse26q06f97dp.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. V0YfGRVLlmh6GO0IE0GKv0+bRs/gbSER7n8/ok0ZNVDwy43TNl/0Yt62XvrEbBLBYT7WDIIqvc/uk935e5CVFdrOwIDDq2zzMK75irvPD3aNdOCyyKB/aTMTFYnLwt9+/tf5NKUUn9eGWDDdZ6M0O/1LgCBFDuJz6jf3wbxskAI=
