165vq8drgbsebp0al17hrnd780gq202f.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. G/uMa/msMmSohhHeUmx/58oCwBDbcC3nW/4ZnBb8wcNHL2yQvX0ix4SkYaT6TmGUmBr1MsOlhouQ98uUQbwCig/eIXXG5+nQbaMwkKW+uQTyfhKc0am+7pJPOMJ9TC0vXlVn5a3Q6pbhU8QzoPicd0yVs24MAr4+D42j7pOld6c=
1683.wien.	14400	in	ns	ns1.world4you.at.
1683.wien.	14400	in	ns	ns2.world4you.at.
1756.wien.	14400	in	ns	ns1082.ui-dns.org.
1756.wien.	14400	in	ns	ns1098.ui-dns.biz.
1756.wien.	14400	in	ns	ns1098.ui-dns.de.
1756.wien.	14400	in	ns	ns1104.ui-dns.com.
188bet.wien.	14400	in	ns	cullen.ns.cloudflare.com.
188bet.wien.	14400	in	ns	elisabeth.ns.cloudflare.com.
1911.wien.	14400	in	ns	ns1.edis.global.
1911.wien.	14400	in	ns	ns2.edis.global.
1a-datenrettung.wien.	14400	in	ns	ns5.kasserver.com.
1a-datenrettung.wien.	14400	in	ns	ns6.kasserver.com.
1a-festplattendoc.wien.	14400	in	ns	ns5.kasserver.com.
1a-festplattendoc.wien.	14400	in	ns	ns6.kasserver.com.
1a-installateur-pavlis.wien.	14400	in	ns	ns1.netzadresse.at.
1a-installateur-pavlis.wien.	14400	in	ns	ns2.netzadresse.at.
1a-installateur-pavlis.wien.	14400	in	ns	ns3.netzadresse.at.
1a-installateur-pavlis.wien.	14400	in	ns	ns4.netzadresse.at.
1c5air2n0nqggk17h323617dkn7shrft.wien.	86400	in	nsec3	1 1 0 - 1D7HGI6JLIA2V9IPL2V82E2R0G0RR61E NS DS RRSIG
1c5air2n0nqggk17h323617dkn7shrft.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. lB3RMZdnrEnGHUWqjRNJtLbemnGFD5dv//vwANuswHlgKuuk6O4bWVuS1COVNh8UsfKcvdj8m1KwlLMWw2wmo+zdUARRcWUb24B5t8CA4DFAbFafXYQaJL90bnWtdjxPIMHblA25CsBEaT3zFQyR7qPUaMgp90VeActbT41GKzc=
1d7hgi6jlia2v9ipl2v82e2r0g0rr61e.wien.	86400	in	nsec3	1 1 0 - 1E2A8LAH18241ELRVTIOR8CU8DIEM8FH NS DS RRSIG
1d7hgi6jlia2v9ipl2v82e2r0g0rr61e.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. PeD8DszqLJ8C3R4ILEy56lzsWHjYXlMnibpxjlAqCI1Z9w6kaIrwC7M/HQtcDXncr/gd0eL7ZILSArLnUPAXQR/5SGORtaWSUp+UaIT/Njv1EN9pMmpnMupOVvjtO6xjIKImIrHVgvsyZpPyg1Xz8EjEEd9Z0gjGdsrPFpfpWKo=
1e2a8lah18241elrvtior8cu8diem8fh.wien.	86400	in	nsec3	1 1 0 - 1E58QS9VSV4H34FBLMG3D48BJJTCG6OV NS DS RRSIG
1e2a8lah18241elrvtior8cu8diem8fh.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. a8DkHRHoxZ9fNNyxkGSOu91IUFdnmLOx0Z3W6SAbYG6xTWuOA2uqMaPqGIEGL1ihknTZ7MbFGl+hzvEzyb/H6kcJnpB1gS0g7gHoy6h0HkA6QiK2tmuNrcpxIToPYLQEgI0cAZejvC6GKDxemM7RQ/WH2aLjD02+VBipvFvPKko=
1e58qs9vsv4h34fblmg3d48bjjtcg6ov.wien.	86400	in	nsec3	1 1 0 - 1ESH50MF73DEO5TNJ2HT509QB2B75TDH NS DS RRSIG
1e58qs9vsv4h34fblmg3d48bjjtcg6ov.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. e2r8l41bdJRnJ8kLODAR1aAjGHgd9La4Cp8BUcaOZ96NCvV+oA69Mg0W0YtoYg1yzybyFc2vMPemSW+Cgx2LE+vVSzyJpIq/iFHpYpGazPXa2pXsoRwZdS5KFEDCawpB7tjXNoGB2trXzuqYOuJMfeeSwolv/tXrCLGUxaMInZY=
1esh50mf73deo5tnj2ht509qb2b75tdh.wien.	86400	in	nsec3	1 1 0 - 1F38HC8D8GRKSF0GMJMVPKPEM5VFOSOP NS DS RRSIG
1esh50mf73deo5tnj2ht509qb2b75tdh.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. EO9YWClCvv4xMYOl7FOO9d3XniAOTlmn4fVB+ZTXrcTfj8HOqTryoGsF0rCRca8hDZXcunn3oKnPud7bE8azObOGEh/7nKxSoWPEdonZmfJjFZsD0wQOis8azeWC2spzwa62dkswl0kPc5BV2Un3L8nXm30bEiZBepRdykelGvk=
1f38hc8d8grksf0gmjmvpkpem5vfosop.wien.	86400	in	nsec3	1 1 0 - 1MNVL4DV2OMR3N5EFN9U6EDI0FQNK95S NS DS RRSIG
1f38hc8d8grksf0gmjmvpkpem5vfosop.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. RtgjDS3OSp0AQq6f91O/66VRJzWMMcO1h1YYv/BTDDCuoq3feZIrlaazYXQi/1+9SzFYS5IUMfqZNuBiycVJ1G+nYcleVJQzmKWQ54sBu7lR4H7c0h9kPo6QZIYGX4t2bI/kqK+ySkQnFBrnDQJ48Fllr4l20ufY4BiQ2lIb1YI=
1mnvl4dv2omr3n5efn9u6edi0fqnk95s.wien.	86400	in	nsec3	1 1 0 - 1O63PSTDM3VE1I1RNEFJLF8HPUBHNONU NS DS RRSIG
